run_id,agent,seed,temperature,tau,sigma,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s0__T0.3__tau0.65__sig1.5,lawnmower,0,0.3,0.65,1.5,20,0.36664246607100826,0.33787189217708047,0.10346177944862078,126.5,0.390625,10.15,,,,shift
lawnmower__s1__T0.3__tau0.65__sig1.5,lawnmower,1,0.3,0.65,1.5,20,0.34252192861542774,0.3029703857403555,0.08936403508771865,128.15,0.390625,10.4,,,,shift
lawnmower__s2__T0.3__tau0.65__sig1.5,lawnmower,2,0.3,0.65,1.5,20,0.37927634938562155,0.33826623596736105,0.10181704260651554,124.25,0.390625,9.1,,,,shift
lawnmower__s3__T0.3__tau0.65__sig1.5,lawnmower,3,0.3,0.65,1.5,20,0.3571073493360103,0.3163699893931031,0.09547305764410957,129.15,0.390625,6.7,,,,shift
lawnmower__s4__T0.3__tau0.65__sig1.5,lawnmower,4,0.3,0.65,1.5,20,0.33531901837994244,0.3004555991209238,0.0892073934837086,129.15,0.390625,9.75,,,,shift
lawnmower__s0__T0.5__tau0.65__sig1.5,lawnmower,0,0.5,0.65,1.5,20,0.36298288749331403,0.34313274935260896,0.10244360902255564,122.3,0.390625,10.15,,,,shift
lawnmower__s1__T0.5__tau0.65__sig1.5,lawnmower,1,0.5,0.65,1.5,20,0.33754404430051016,0.30582249620250745,0.08811090225563843,124.55,0.390625,10.4,,,,shift
lawnmower__s2__T0.5__tau0.65__sig1.5,lawnmower,2,0.5,0.65,1.5,20,0.3771372224255721,0.3434503664243933,0.10119047619047543,120.6,0.390625,9.1,,,,shift
lawnmower__s3__T0.5__tau0.65__sig1.5,lawnmower,3,0.5,0.65,1.5,20,0.35533047881442614,0.3219672455389223,0.09500313283207949,125.15,0.390625,6.7,,,,shift
lawnmower__s4__T0.5__tau0.65__sig1.5,lawnmower,4,0.5,0.65,1.5,20,0.33149225671761157,0.3082486343099749,0.08818922305764344,122.95,0.390625,9.75,,,,shift
lawnmower__s0__T1__tau0.65__sig1.5,lawnmower,0,1.0,0.65,1.5,20,0.36090683515160726,0.3552085984129268,0.10181704260651554,114.9,0.390625,10.15,,,,shift
lawnmower__s1__T1__tau0.65__sig1.5,lawnmower,1,1.0,0.65,1.5,20,0.33415445125987675,0.3199706140075995,0.08724937343358333,115.3,0.390625,10.4,,,,shift
lawnmower__s2__T1__tau0.65__sig1.5,lawnmower,2,1.0,0.65,1.5,20,0.3744762264591559,0.3556208363553829,0.1004072681704253,113.4,0.390625,9.1,,,,shift
lawnmower__s3__T1__tau0.65__sig1.5,lawnmower,3,1.0,0.65,1.5,20,0.3533582538936381,0.336442237424981,0.09445488721804442,116.6,0.390625,6.7,,,,shift
lawnmower__s4__T1__tau0.65__sig1.5,lawnmower,4,1.0,0.65,1.5,20,0.3294467641833395,0.3207842198691778,0.08764097744360835,115.05,0.390625,9.75,,,,shift
lawnmower__s0__T2__tau0.65__sig1.5,lawnmower,0,2.0,0.65,1.5,20,0.34694865494600513,0.3835500979708341,0.09782268170425992,97.7,0.390625,10.25,,,,shift
lawnmower__s1__T2__tau0.65__sig1.5,lawnmower,1,2.0,0.65,1.5,20,0.3188433720739934,0.34311920179884076,0.0833333333333327,98.7,0.390625,10.4,,,,shift
lawnmower__s2__T2__tau0.65__sig1.5,lawnmower,2,2.0,0.65,1.5,20,0.35839321418021974,0.3788061960906345,0.09609962406014966,98.05,0.390625,9.3,,,,shift
lawnmower__s3__T2__tau0.65__sig1.5,lawnmower,3,2.0,0.65,1.5,20,0.34059482516405704,0.36057371061505855,0.09100877192982389,100.65,0.390625,7.15,,,,shift
lawnmower__s4__T2__tau0.65__sig1.5,lawnmower,4,2.0,0.65,1.5,20,0.31565764907669003,0.34544342509759873,0.08388157894736778,98.2,0.390625,9.85,,,,shift
lawnmower__s0__T3__tau0.65__sig1.5,lawnmower,0,3.0,0.65,1.5,20,0.3347635985026266,0.40343707634110293,0.09445488721804442,86.4,0.390625,10.3,,,,shift
lawnmower__s1__T3__tau0.65__sig1.5,lawnmower,1,3.0,0.65,1.5,20,0.3077188523374974,0.362505247758916,0.08043546365914726,87.35,0.390625,10.4,,,,shift
lawnmower__s2__T3__tau0.65__sig1.5,lawnmower,2,3.0,0.65,1.5,20,0.3446176676144142,0.3947133629989163,0.09234022556390908,88.05,0.390625,9.35,,,,shift
lawnmower__s3__T3__tau0.65__sig1.5,lawnmower,3,3.0,0.65,1.5,20,0.32709254781651037,0.3798815321185843,0.08748433583959835,88.6,0.390625,7.15,,,,shift
